iter	Passed	Remaining
0	0	96
1	1	83
2	2	74
3	2	66
4	3	63
5	3	61
6	4	59
7	5	58
8	5	56
9	6	55
10	6	55
11	7	55
12	8	54
13	8	53
14	9	52
15	9	51
16	10	50
17	11	50
18	11	49
19	12	48
20	12	47
21	13	47
22	14	47
23	14	47
24	15	46
25	15	45
26	16	44
27	17	44
28	17	43
29	18	42
30	18	42
31	19	41
32	20	41
33	20	40
34	21	39
35	21	39
36	22	38
37	23	37
38	23	36
39	24	36
40	24	35
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	39	21
65	39	20
66	40	20
67	41	19
68	42	18
69	42	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	47	14
76	47	14
77	48	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
83	52	9
84	52	9
85	53	8
86	53	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
